Annee,Score,Metascore,Genre,Revenu,Votes
2003,7.2,73,2,95.64,129418
2010,4.4,27,5,95.35,67043
2004,5.8,43,5,95.17,64763
2000,7.3,62,7,95.01,307482
2013,7.5,62,4,95,75463
2010,6.9,53,1,94.84,261412
2008,5.1,34,1,94.78,118016
1977,6.8,77,7,94.21,62395
2009,7,66,4,94.13,92468
1998,6.7,63,1,94.1,152346
2002,5.1,45,5,94.01,76380
2009,6.4,47,5,93.95,146262
2003,7.4,81,1,93.93,185711
2012,7.3,76,7,93.77,294478
2010,7.8,79,4,93.62,308187
2001,5.7,44,5,93.61,51380
2007,7.4,42,2,93.47,208396
2015,6.5,60,1,93.44,157375
2016,6.9,54,1,93.43,160032
2001,5.1,47,1,93.39,51613
2002,6.1,42,5,93.35,95755
2002,7.2,60,6,93.15,226058
2013,6.6,61,1,93.05,384864
1997,5.2,37,5,92.98,75357
1989,7.6,76,5,92.82,171577
2010,7.6,74,6,92.19,314234
2014,7,56,1,92.17,228157
1994,6.7,65,6,92.12,52958
2017,8,81,7,92.05,340588
2017,7.5,75,1,92.03,247315
1996,7.6,71,1,92,107749
1990,6.1,61,5,91.46,121451
1999,4.9,42,9,91.41,65173
1995,7.3,66,1,91.4,91053
1998,6.7,58,5,91.14,53760
2014,8,73,4,91.13,591544
2001,6.2,53,7,91.06,52943
2002,5.5,45,1,91.05,118694
1984,7.2,60,1,90.82,153168
1998,6.6,72,3,90.76,136085
2010,6.6,50,1,90.76,248166
2006,5.1,40,5,90.71,104137
2007,6.2,44,5,90.65,51447
2000,6.6,49,5,90.57,205048
2008,4.7,57,5,90.56,51011
2000,6.4,73,1,90.46,66762
1996,6.4,59,3,90.46,135274
2015,6,34,5,90.41,106746
1983,7.5,69,5,90.4,118960
2010,7.1,60,1,90.38,265556
2003,4.7,47,5,90.19,54112
2003,8,84,6,90.14,378600
2015,6.5,38,1,89.76,226494
2005,6.3,53,13,89.71,140086
1991,6.5,51,5,89.33,61489
2000,7.3,70,3,89.3,153248
2013,6.4,37,1,89.3,203836
2014,6,26,1,89.26,159183
2016,7.1,71,6,89.22,173564
2000,5.5,56,11,89.14,111126
2013,7,54,1,89.02,440385
2009,6.5,28,5,88.92,184656
2010,5.9,47,2,88.76,160657
2006,5.6,47,5,88.72,65293
2011,7.1,75,2,88.63,81196
2006,7.6,76,6,88.51,305586
1995,6.2,56,1,88.25,161468
2004,6.1,55,5,88.24,129285
2004,5.9,44,5,88.1,116102
1990,7.4,55,2,87.73,342129
1999,6.3,54,1,87.7,98057
2008,7,64,1,87.34,285318
2016,6.7,57,2,87.24,133716
2015,6,58,5,87.04,57114
2005,6.6,40,11,87.04,212698
1991,6.9,65,5,86.93,93740
2012,6.1,50,5,86.91,116464
1974,8,80,5,86.3,129935
2016,7.4,51,1,86.26,220549
2014,5.6,36,2,86.21,114353
2004,7,66,5,86.06,290028
2002,5.1,66,1,85.85,52554
2014,7.6,64,1,85.82,367058
2011,7.1,56,1,85.47,278828
2004,7,66,3,85.42,68390
2003,6.8,48,3,85.34,83130
1981,6.9,68,5,85.3,56738
2004,7.2,63,5,85.29,300194
1986,8.4,84,1,85.16,580304
2006,6.1,49,3,85.11,75708
